,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
NEK9,6.37654,6.4873,6.64595,6.56944,6.40292,6.55515,6.42883,6.52508,6.49646,6.51599,6.41316,6.59866,6.68583,6.5698,6.76685,6.68335,6.5434,6.74643,7.06,6.84924,6.53985,6.6415
TMED10,8.17137,8.15308,8.21605,8.43952,8.36011,8.48383,8.34399,8.4031,8.20773,8.42414,8.33023,8.53893,8.71493,8.5531,8.63815,8.43012,8.3999,8.62048,8.70083,8.6012,8.41535,8.23866
O95431_HUMAN,2.32436,2.28262,2.73188,2.43064,2.40426,2.16524,2.48585,2.94038,2.79744,2.82564,2.89791,2.30124,2.31947,2.60372,3.22304,3.17523,3.07036,3.02524,3.16141,3.15946,2.426,2.40089
C14orf1,7.20201,7.52759,7.35422,7.36021,7.45001,7.33191,7.51049,7.34265,7.37026,7.61401,7.53109,7.50225,7.90618,7.63021,7.5892,7.70147,7.50187,7.79216,7.89436,7.69182,7.72073,7.36163
TGFB3,4.32626,4.33732,4.09777,3.9991,4.28446,4.11649,4.05609,3.85866,4.14056,3.9799,4.10392,3.86029,4.13159,4.12258,3.9828,3.9679,4.09373,3.98964,3.97008,3.88861,4.09788,4.00174
ANGEL1,5.05908,5.18168,5.23014,5.04838,5.09715,5.1778,5.10659,5.05293,5.0724,5.21778,5.08411,5.25354,5.26054,5.21556,5.25378,4.95622,4.93207,5.35474,5.2073,5.11767,5.19418,5.05527
IRF2BPL,5.74884,5.57887,6.01346,5.51924,5.58201,5.68067,5.28922,6.17556,6.37252,6.05298,5.79875,5.95297,5.87324,6.13013,6.16974,6.16167,6.13745,5.9564,5.64449,5.67732,5.87731,5.93459
ZDHHC22,4.76888,4.7065,4.71176,4.7537,4.71918,4.50323,4.627,4.53735,4.61268,4.68566,4.76697,4.55461,4.6833,4.69813,4.6766,4.66053,4.68953,4.65085,4.4958,4.69956,4.77995,4.81115
NGB,5.15111,5.20212,5.09277,5.08203,5.09522,5.01601,5.02769,4.8775,5.08964,5.07686,5.15424,4.88511,4.87132,4.82252,5.02114,4.91653,5.0351,5.12323,5.05467,4.95809,4.9831,5.23955
POMT2,4.24922,4.39593,4.20904,4.2355,4.30295,4.25581,4.31367,4.17086,4.37717,4.2875,4.2545,4.09032,4.32305,4.23708,4.15635,4.30968,4.24419,4.31903,4.17621,4.22469,4.22815,4.30538
TMED8,5.91948,5.68894,5.68646,5.78143,5.86731,5.9081,5.81246,6.11092,6.03494,6.01805,5.90622,6.10174,6.33322,5.96254,5.98835,5.99309,5.98085,6.21425,6.11278,5.99757,6.17973,5.97201
NOXRED1,3.22007,3.17586,3.27639,3.20724,3.16202,3.18145,3.1844,3.25144,3.32899,3.2051,3.1612,3.17854,3.08148,3.15807,3.11366,3.33866,3.20246,3.16753,2.81184,3.37571,2.90616,3.19583
C14orf133,6.03415,6.12212,6.16068,6.26104,6.14707,6.33437,6.15732,6.41863,6.26237,6.20822,6.14178,6.31945,6.39676,6.26423,6.35126,6.2984,6.23076,6.34646,6.34485,6.28891,6.179,6.21155
ISM2,5.43986,5.44863,5.49093,5.37201,5.38988,5.35212,5.43526,5.40825,5.37016,5.52534,5.45046,5.26699,5.427,5.39141,5.54703,5.4517,5.58682,5.35018,5.40367,5.37199,5.65457,5.47898
SPTLC2,6.69138,6.68869,7.00577,6.95132,6.65104,7.06429,7.11123,7.16177,7.01771,6.84778,6.96084,6.88634,6.99784,6.91639,7.17441,7.00678,7.19424,7.08836,7.04235,7.01786,6.87956,6.99897
ALKBH1,4.60769,4.83185,4.97186,4.92197,4.89456,5.02249,4.99105,4.93734,4.95138,5.15276,4.98534,4.92377,5.10888,5.01974,5.33869,4.79659,5.17728,5.32448,5.11831,5.04202,5.25887,5.06749
