,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
Q5VT23_HUMAN,3.26738,3.31098,3.43487,3.75169,3.48195,2.97883,3.42634,3.26337,3.56287,3.18339,3.74667,3.86419,3.73051,3.46831,3.57239,3.3919,3.63679,3.42098,3.30146,2.56715,3.72157,3.51813
OR4F5,3.35862,3.75546,2.938,2.92501,2.53387,3.51797,3.37228,3.27526,3.19252,3.44663,2.80779,3.07994,3.42614,1.86125,3.07214,2.73488,2.8837,2.96667,2.53256,3.05385,3.44555,3.76532
OR4F29,2.68788333333333,2.33994333333333,2.52431333333333,2.61227666666667,2.47574333333333,2.39557333333333,2.59841333333333,2.75595666666667,2.40114,2.52980666666667,2.30505666666667,2.66504,2.44294666666667,2.28185333333333,2.25666333333333,2.31905666666667,2.66466333333333,2.35937,2.45019,2.50356333333333,2.22433,2.47729333333333
FAM87B,4.58252,4.71592,4.50663,4.513235,4.554375,4.625205,4.40226,4.48061,4.644575,4.54306,4.47177,4.841915,4.588365,4.401265,4.35569,4.52658,4.57743,4.69702,4.20161,4.668365,4.501275,4.63898
Q96BN7_HUMAN,1.73314,1.96198,2.15507,1.76464,1.63863,2.02989,1.84498,2.11186,1.79905,1.71487,1.77509,2.44675,1.94413,1.90734,1.98192,2.27814,2.00283,1.932,2.01787,2.41346,1.91396,1.76572
SAMD11,5.70784,5.75342,5.63815,5.62694,5.65093,5.58473,5.65017,5.62617,5.595,5.70909,5.73135,5.53802,5.65372,5.5392,5.61079,5.63539,5.61958,5.61842,5.5712,5.59464,5.71548,5.70484
KLHL17,5.62164,5.56233,5.47267,5.45066,5.56554,5.31502,5.56769,5.48599,5.45071,5.628,5.51664,5.40105,5.46696,5.48391,5.52925,5.4685,5.4806,5.59652,5.50315,5.44697,5.51302,5.50411
PLEKHN1,5.92913,5.95636,5.88725,5.82659,5.92737,5.77044,5.85892,5.87565,5.90106,5.9193,5.86352,5.82918,5.79849,5.87518,5.86205,5.61934,5.83065,5.87118,5.6636,5.78003,5.86236,5.96733
ISG15,6.17881,5.96225,5.83177,5.7045,5.72286,5.91777,6.54805,5.67597,5.86375,5.75008,5.94694,5.84716,5.76967,5.73127,5.98893,5.78239,5.73935,5.82291,5.87797,5.84403,5.78954,5.76627
AGRN,5.69623,5.68972,5.59502,5.55939,5.70452,5.55928,5.7598,5.5472,5.56147,5.70621,5.65175,5.56634,5.60197,5.58974,5.65746,5.52342,5.64316,5.62755,5.54346,5.55553,5.65857,5.68541
hsa-mir-429,2.43614,2.30539,2.44493,2.19859,2.30112,2.7892,2.50121,2.33755,2.36987,2.34662,2.48206,1.83427,2.4037,2.81398,2.0169,1.81736,2.79707,2.4852,2.33641,2.24874,2.46397,2.12244
TTLL10,5.23366,5.3072,5.12394,5.14481,5.30258,5.15554,5.16136,5.0767,5.15965,5.1793,5.22126,5.07718,5.04493,5.04975,5.06361,5.01898,5.13003,5.05103,4.98343,5.13779,5.152,5.28143
B3GALT6,5.65208,5.7223,5.74224,5.49116,5.60443,5.90379,5.63911,5.66979,5.63193,5.79227,5.64822,5.77132,5.87446,5.68445,5.84061,5.77402,5.79062,5.89797,5.6868,5.91385,5.73285,5.6549
SCNN1D,5.47992,5.5071,5.41818,5.43136,5.53779,5.43442,5.45797,5.44529,5.39557,5.45784,5.45122,5.33936,5.34845,5.43643,5.40081,5.32166,5.47443,5.43848,5.23252,5.35946,5.45108,5.53446
PUSL1,5.81917,5.88542,5.7782,5.78889,5.80307,5.63589,5.75686,5.73802,5.78755,5.82721,5.78155,5.77799,5.8491,5.91509,5.90197,5.73252,5.84594,5.75892,5.75163,5.69575,5.83934,5.89533
GLTPD1,5.60825,5.51454,5.5233,5.42846,5.73461,5.63786,5.72947,5.51776,5.69263,5.73968,5.68421,5.68139,5.72266,5.7956,5.7042,5.54903,5.72099,5.67227,5.56151,5.59207,5.6288,5.69386
TAS1R3,5.94925,6.01969,5.87368,5.812265,6.050115,5.829785,5.9432,5.866975,5.890265,5.9803,5.85982,5.8516,5.91378,5.867155,5.919095,5.709645,5.858435,5.915605,5.75168,5.82402,5.90138,5.933605
TMEM88B,6.29057,6.37515,5.83881,6.29109,6.04316,6.01918,6.33792,6.08897,6.19094,6.20265,6.20215,6.25963,6.28415,6.19114,6.14685,6.20316,6.16494,6.04953,6.1206,6.22108,6.36363,6.23264
VWA1,4.99957,5.18857,4.96669,5.06012,5.19298,4.9739,5.03534,5.11388,4.9952,5.08031,5.1003,5.06689,5.15628,4.97922,5.15114,4.93618,5.09625,5.07314,5.0121,4.96341,5.15096,5.17741
ATAD3C,5.19286,5.2441,5.15423,5.10708,5.16005,5.05553,5.10785,5.20583,5.1561,5.2513,5.12803,5.11776,5.18646,5.1517,5.20002,5.1581,5.17512,5.26054,5.26497,5.18605,5.22824,5.17535
ATAD3B,6.10418,6.13584,6.07929,6.07181,6.11187,6.09833,6.07589,5.9719,6.06204,6.05631,6.11879,6.07072,6.10203,6.09469,6.01306,6.04112,5.99747,6.06838,6.10564,6.05846,6.07082,6.06052
MIB2,6.09601,6.11059,6.04307,5.9979,6.05119,5.95612,5.96469,5.98716,6.05324,6.03046,6.12131,5.97154,6.08935,6.05978,6.0177,5.95233,6.04962,6.03645,5.9632,5.93421,6.04138,6.02046
MMP23B,6.13112,6.24964,6.09912,6.05863,6.16264,6.12216,6.16418,6.12247,6.16843,6.13475,6.17298,6.09276,6.09529,6.11228,6.0863,6.03929,6.15212,6.1173,6.05338,5.99453,6.16675,6.18661
CALML6,4.46724,4.53292,4.26707,4.34348,4.36989,4.36052,4.14714,4.13279,4.14138,4.14252,4.26308,4.04536,4.23279,4.27822,4.18881,3.92708,4.19306,4.14499,4.08819,4.25259,3.96388,4.26266
GABRD,5.41121,5.56479,5.32482,5.35752,5.64385,5.37214,5.38669,5.25072,5.38052,5.47595,5.40384,5.33635,5.42036,5.40059,5.36618,5.3117,5.31261,5.39481,5.393,5.41918,5.46742,5.47233
PRKCZ,5.56043,5.76589,5.6189,5.56487,5.63306,5.58902,5.47357,5.70165,5.75597,5.6999,5.55787,5.60414,5.74882,5.71614,5.95234,5.58457,5.72405,5.71602,5.63141,5.75891,5.71692,5.85888
C1orf86,4.74329,4.89865,4.692125,4.670925,4.896545,4.62658,4.634825,4.706245,4.62421,4.751675,4.683535,4.612245,4.52766,4.63315,4.62038,4.5114,4.75223,4.767445,4.3726,4.610145,4.77991,4.716445
SKI,6.16747,6.34009,6.39679,6.18154,6.18635,6.21319,6.02708,6.42695,6.63649,6.45684,6.42416,6.56491,6.37486,6.49167,6.61787,6.4239,6.55454,6.40754,6.22207,6.38578,6.30047,6.64138
RER1,5.56247,5.61124,5.77288,5.56608,5.43398,5.75105,5.61841,5.99261,5.81679,5.74024,5.56239,5.76086,5.7417,5.75812,5.85271,5.93165,5.84791,5.84018,5.925,5.87775,5.73812,5.83149
PLCH2,5.60108,5.53269,5.38967,5.37847,5.56339,5.42655,5.28603,5.21171,5.48527,5.4194,5.47716,5.43798,5.56061,5.45559,5.34918,5.34053,5.34573,5.35646,5.3785,5.41728,5.33602,5.30618
FAM213B,4.79803,4.87805,4.78012,4.86743,4.95763,4.92773,4.85754,5.03709,4.9846,5.11263,4.84145,4.90027,5.07121,4.92627,5.07462,4.91359,4.95846,5.06515,4.91426,5.07231,5.01504,4.99664
ACTRT2,4.08533,3.94395,4.21344,4.21516,4.42352,3.5877,3.98828,4.46075,3.86362,3.93087,4.08461,3.97749,4.01174,4.22203,3.86481,4.02878,4.09114,4.03111,4.19997,3.89758,3.90548,3.91191
PRDM16,4.73762,4.78384,4.78,4.68726,4.79371,4.73976,4.70829,4.71717,4.67832,4.79568,4.63099,4.63662,4.67134,4.66861,4.64861,4.50019,4.71425,4.68466,4.67634,4.64218,4.68844,4.84605
ARHGEF16,5.03264,4.95937,4.96866,4.90176,4.95539,5.04419,4.89424,4.92749,4.9412,4.99149,4.97489,4.79226,4.91432,4.88767,4.90983,4.72277,4.95703,4.96996,4.85275,5.01525,4.9022,4.98806
TPRG1L,6.95768,6.98319,7.40911,7.1351,7.18306,7.27539,7.03348,7.85713,7.28267,7.43193,7.11907,7.43185,7.51494,7.51963,7.71476,7.55915,7.77597,7.51599,7.74889,7.82884,7.43501,7.5871
TP73,4.95732,5.06773,5.006,4.961,5.04671,4.89184,4.98107,4.92963,5.2178,5.01532,5.06246,4.90401,4.99235,4.93713,4.92204,4.94457,5.0214,4.93206,4.93435,5.01259,4.97939,5.00419
CCDC27,3.84394,3.92744,3.96115,3.79428,4.00076,3.8883,3.91695,3.95124,3.92558,3.91299,4.05994,3.91474,3.81625,3.8947,4.05961,4.01131,3.91522,3.9602,3.82989,3.79979,3.90872,4.06848
DFFB,5.46585,5.52703,5.37526,5.36721,5.44843,5.41033,5.45703,5.32698,5.48951,5.45264,5.3937,5.41469,5.45971,5.43569,5.39977,5.57359,5.38933,5.41136,5.42872,5.45206,5.38305,5.42492
AJAP1,3.97048,3.73792,3.75377,3.65529,3.74971,3.64788,3.73959,3.53596,3.82847,3.79558,3.61656,3.52176,3.78699,3.65818,3.75517,3.5444,3.8426,3.77264,3.65192,3.69941,3.70188,3.75119
KCNAB2,6.47881,6.70354,6.58842,6.68214,6.64561,6.46109,6.48581,6.66673,6.68849,6.84005,6.52672,6.63476,6.83985,6.69393,6.8126,6.68803,6.74003,6.86148,6.82257,6.70348,6.733,6.70943
RNF207,5.044965,5.093735,4.965725,4.94234,5.026925,4.90702,5.008625,4.9948,4.966275,5.075565,4.984905,4.9148,4.99805,4.946675,4.985295,4.79661,4.949765,4.97391,4.899345,4.967575,4.977895,5.06602
LINC00337,4.68692,4.51076,4.36271,4.09999,4.69786,4.72955,4.28601,4.36132,4.62091,4.0104,4.3459,4.25849,4.2258,4.54731,4.25119,3.9623,4.35413,4.39205,4.37913,4.42596,4.5244,4.46965
HES3,4.56665,4.55241,4.58684,4.47782,4.8691,4.36382,4.57202,4.49197,4.64029,4.69679,4.70217,4.50702,4.50161,4.51137,4.65471,4.39287,4.61019,4.59063,4.47707,4.57378,4.66927,4.75306
Q6UXW7_HUMAN,5.5909,5.54684,5.49504,5.36173,5.59423,5.41892,5.42764,5.76794,5.32204,5.48677,5.67071,5.66336,5.41238,5.45599,5.27817,5.74511,5.54806,5.51531,5.46159,5.69095,5.31556,5.43741
ESPN,5.56648,5.61351,5.58698,5.60753,5.61886,5.63843,5.58575,5.53719,5.5312,5.60823,5.6243,5.53805,5.4984,5.45215,5.5529,5.5177,5.5138,5.50189,5.55208,5.50754,5.60252,5.65385
TAS1R1,4.3351,4.44909,4.30508,4.27956,4.46139,4.41106,4.29365,4.14437,4.30804,4.40153,4.3527,4.26741,4.26248,4.30972,4.24534,4.04691,4.38484,4.12144,4.25229,4.2621,4.27429,4.24683
ZBTB48,5.5065,5.76499,5.6778,5.65156,5.73149,5.59836,5.41497,5.72516,5.84318,5.76593,5.5715,5.5129,5.75575,5.70581,5.88243,5.46128,5.83149,5.69592,5.48293,5.71865,5.73893,5.80261
PHF13,5.26428,5.2012,4.9912,5.14462,5.13861,4.99198,5.10274,5.03706,5.07691,5.11122,4.92112,5.17343,5.12099,5.1655,5.18278,5.04704,5.12985,5.17132,5.00141,5.0581,5.23713,5.39762
THAP3,5.28469,5.32553,5.1177,5.13508,5.21129,5.11192,5.09343,5.06289,5.13473,5.18622,5.2125,5.22795,5.11027,5.21791,5.15658,4.82309,5.16945,5.22685,5.02551,5.04124,5.18385,5.32628
CAMTA1,4.37462,4.29378,4.16805,4.23608,4.19314,4.3435,4.15011,4.20544,4.15955,4.38169,4.32566,4.26457,4.61447,4.31846,4.41274,4.57944,4.25284,4.43766,4.43147,4.44717,4.56496,4.32066
VAMP3,8.0613,7.83467,8.23784,8.41604,8.0497,8.67955,8.3832,8.71664,8.40056,8.47357,8.13051,8.33444,8.46787,8.43249,8.55508,8.21862,8.57424,8.43927,8.72425,8.48973,8.36424,8.49365
PER3,4.89174,4.75494,4.57784,4.5088,4.71796,4.67476,4.42594,4.116,4.49148,4.23821,4.67839,4.68304,4.75282,4.47,4.68561,4.58556,4.43755,4.55375,4.96629,4.67067,4.62318,4.42093
PARK7,6.50142,6.68574,6.64542,6.61496,6.40909,6.59597,6.73185,6.75434,6.73945,6.86886,6.69513,6.72879,6.85452,6.73836,6.88084,6.91319,6.86495,6.8501,7.01511,7.04581,6.80051,6.59538
SLC45A1,4.67952,4.66015,4.60668,4.56501,4.75996,4.55372,4.57617,4.63584,4.57923,4.63181,4.59234,4.54675,4.59523,4.52798,4.55181,4.60623,4.60811,4.6457,4.42311,4.50275,4.56405,4.67014
CA6,3.92949,3.80383,4.05134,3.91764,4.12121,3.88151,3.77455,3.85577,3.86435,4.0077,4.07979,4.17782,4.31358,3.87543,3.95979,3.65434,3.7414,4.27886,4.08925,3.88154,3.88146,4.24209
H6PD,5.86938,5.95401,6.03427,6.30194,6.20974,5.91993,6.21365,6.29847,5.95699,6.4578,6.36709,6.31379,6.32576,6.48804,6.20966,6.15378,6.36369,6.25433,6.57506,6.48152,6.34298,6.06609
SPSB1,5.03096,5.14462,4.83306,4.9879,4.98619,4.75664,5.20296,4.94817,5.02389,5.2899,5.04881,4.92565,5.07758,5.01752,4.98834,4.90566,5.04148,5.03465,4.98468,5.0216,5.16116,5.11414
SLC25A33,2.92202,2.96047,2.8875,2.96954,2.89422,3.00443,3.00998,2.96459,2.83479,3.08812,2.97409,3.04204,3.30831,3.08048,3.39793,3.05767,3.26219,3.2244,3.3722,3.17387,2.87811,3.03557
TMEM201,4.87502,4.8435,4.79264,4.66962,4.90741,4.69342,4.78006,4.75526,4.78802,4.81891,4.82145,4.61215,4.81158,4.77473,4.7942,4.58166,4.73205,4.8071,4.72567,4.80922,4.8407,4.80435
PIK3CD,7.70525,7.87965,7.9965,7.74924,7.80286,7.81904,7.6927,8.21232,8.15909,8.10564,7.82972,8.04291,7.88358,7.9166,8.25295,7.9649,8.1186,8.00071,7.7613,8.00942,8.02142,8.16319
NMNAT1,5.78001,5.81191,5.72731,5.75505,5.68646,5.55847,5.70737,5.75583,5.82374,5.67728,5.76576,5.73298,5.63849,5.68366,5.68212,5.69496,5.73285,5.70705,5.69007,5.64956,5.68959,5.74044
RBP7,5.9705,6.03548,6.19681,6.03717,5.88016,5.76875,6.0353,6.0574,6.07761,5.91346,5.95434,6.00854,5.82998,6.02994,6.06426,6.18177,6.11184,5.937,5.91924,6.02814,5.81158,6.11801
UBE4B,6.79221,6.75202,7.12232,6.94967,6.76569,7.0357,6.6915,7.11681,7.04262,6.9669,6.8714,6.92561,6.86957,6.99721,7.08515,7.12371,7.15599,7.03785,6.83707,7.04301,6.78772,7.06911
KIF1B,5.94614,5.68038,6.00333,5.85329,5.57902,5.86638,5.99368,6.23139,5.87165,5.83431,5.72468,5.80133,5.59662,5.69354,5.81053,5.81222,5.85016,5.82711,5.81303,5.74667,5.60526,5.97577
PGD,8.8862,8.9505,9.23362,9.23787,8.88536,9.14389,8.96955,9.51206,9.40935,9.26211,8.68797,9.1341,9.3862,8.94756,9.24372,8.96283,9.32874,9.2931,9.4352,9.43949,8.95274,9.31192
APITD1,2.97797,2.98542,2.95506,2.92893,3.01179,3.10428,2.88108,3.03471,3.0738,3.1097,2.98625,2.96127,3.12242,3.15478,3.21584,3.05533,3.08677,3.2985,3.32002,3.13815,3.01394,3.08123
PEX14,5.37518,5.38706,5.31475,5.35331,5.39398,5.28177,5.39417,5.48505,5.38188,5.44901,5.34382,5.42241,5.41567,5.42158,5.43181,5.51876,5.36476,5.42638,5.57205,5.37848,5.43146,5.38578
TARDBP,6.82233,6.64123,6.93106,6.75743,6.77392,6.89948,6.47189,6.55004,6.54418,6.31702,6.50006,6.6704,6.48105,6.62709,6.3623,6.76661,6.41223,6.57047,6.57822,6.79037,6.42992,6.48208
ANGPTL7,5.32934,5.20514,4.81459,4.98344,4.88286,4.64418,5.00214,4.46563,4.92115,4.7119,4.83722,4.3848,4.57293,4.94528,4.62683,4.77611,4.74892,4.67408,4.45708,4.4243,4.60055,4.9509
UBIAD1,5.73868,5.95259,5.81119,5.74777,5.9643,5.88702,5.86589,5.73127,5.87653,6.03632,5.90964,5.99258,5.91158,5.94282,6.02401,5.88702,5.8549,6.07609,5.96009,5.99301,6.08962,5.84304
PTCHD2,4.59477,4.63248,4.67502,4.51606,4.56406,4.55902,4.5978,4.57675,4.51883,4.65665,4.58596,4.50834,4.49874,4.47831,4.53144,4.5029,4.62823,4.50715,4.33088,4.56225,4.65421,4.58263
FBXO44,5.26646,5.36724,5.21703,5.21608,5.29289,5.3142,5.23716,5.15296,5.12119,5.29005,5.28521,5.19109,5.30692,5.21321,5.22243,5.1231,5.22593,5.31271,5.32846,5.32844,5.38985,5.31033
FBXO6,5.85238,5.93239,5.89269,6.04584,5.86792,6.03984,6.78989,6.39873,6.03819,6.47306,6.20729,5.87407,6.3425,6.05924,6.32363,5.90657,6.15859,6.12052,6.62127,6.04328,6.18482,6.20687
C1orf187,4.99104,5.0184,4.76308,4.91662,4.86238,4.79117,4.7915,4.77134,4.87665,4.98608,5.02952,4.70091,5.03182,5.01921,4.67917,4.67137,4.80528,4.77245,4.71276,4.71422,4.89952,4.99236
AGTRAP,6.65776,6.85773,6.94367,6.98148,6.81342,6.86442,7.01144,7.25744,7.01413,7.20808,6.79362,6.89116,6.99993,6.94152,7.17744,7.02276,7.14565,6.9845,6.93524,7.08501,6.98493,7.31317
C1orf167,5.24562,5.23393,5.25816,5.10397,5.23958,5.13059,5.17202,5.11228,5.15088,5.11368,5.12577,5.07615,5.11403,5.13988,5.08243,5.02218,5.07766,5.05353,4.98244,5.01556,5.17011,5.20195
CLCN6,5.88416,5.69473,5.92374,5.61115,5.75008,5.54608,5.65248,5.21739,5.50806,5.63322,5.4371,5.42529,5.55975,5.50865,5.5592,5.54537,5.48856,5.67474,5.48212,5.53543,5.67225,5.55688
NR_002754.2,7.86358,8.12986,7.84723,7.48093,6.86859,8.09115,7.42631,8.12425,7.80109,6.64164,7.85337,7.81689,6.90157,7.55631,7.36368,7.35337,7.33112,7.57483,8.53868,6.36162,7.79755,7.51061
PLOD1,6.59028,6.88979,6.91156,6.93611,6.45114,6.49959,6.72398,7.07134,7.18595,7.21474,6.87121,6.64661,6.64497,6.87773,6.98788,7.03231,7.45255,6.94852,6.99926,6.91352,6.90149,7.25816
MFN2,7.05327,6.94545,6.98459,7.11674,6.25982,6.62316,6.73354,6.9488,6.99645,6.75772,6.99396,6.49832,6.34653,6.54272,6.75203,6.9364,7.47312,6.93178,6.881,6.47658,7.03177,7.02417
MIIP,5.55981,5.65521,5.64093,5.57319,5.55862,5.46547,5.62756,5.73778,5.64538,5.77116,5.69757,5.57025,5.64116,5.6218,5.67382,5.59234,5.6693,5.7259,5.66473,5.60352,5.70652,5.7964
TNFRSF8,5.35893,5.27736,5.22691,5.25989,5.30788,5.24549,5.24567,5.24871,5.30685,5.36991,5.30952,5.16862,5.19596,5.22759,5.18705,5.18044,5.36404,5.2149,5.01257,5.12917,5.22585,5.43193
TNFRSF1B,8.42595,8.65991,8.5562,8.6069,8.53523,8.7562,8.59844,8.8448,8.81249,8.77625,8.50832,8.64125,8.76493,8.72533,8.94137,8.83042,8.95124,8.75016,8.61615,8.55002,8.72449,8.82786
VPS13D,6.40888,6.46906,6.521,6.44044,6.27736,6.43843,6.23062,6.10623,6.37136,5.95766,6.28665,6.38575,6.21256,6.31322,6.11609,6.38531,6.09398,6.19315,6.16753,6.20842,6.07521,6.07504
AADACL4,3.66894,3.81594,3.69587,3.55319,3.60857,3.71224,4.01871,3.67581,3.60387,3.7677,3.69335,3.71952,3.55698,3.62922,3.83748,4.15039,3.91607,3.55661,3.25107,3.79776,3.64686,3.84862
AADACL3,3.41691,2.97363,3.22387,3.12927,3.16323,3.0128,2.94919,3.45849,2.98519,3.15081,3.19001,3.01468,3.00567,3.11791,3.18427,2.99118,3.22369,3.2222,3.06103,3.04758,3.10592,3.23742
C1orf158,3.02707,3.2502,2.97589,3.01151,2.93918,2.93523,2.97144,2.97306,2.815,2.90375,3.03917,2.92655,2.7882,2.91251,2.90061,3.13135,3.15607,2.84311,2.72773,2.92997,3.01902,2.90813
PRAMEF12,2.49704,2.49548,2.53793,2.35844,2.73439,2.43681,2.5466,2.56593,2.50819,2.48766,2.54595,2.16902,2.32342,2.30647,2.51612,2.59707,2.45197,2.3207,2.74878,2.26238,2.25472,2.48286
PRAMEF1,2.20446,2.28115,2.22298,2.10113,2.1315,2.19716,2.13913,2.09999,2.17656,2.2451,2.28907,2.2989,2.05815,2.11409,1.98229,2.13899,2.47525,2.09563,2.13649,2.21211,2.13899,2.27111
PRAMEF2,3.28208,2.62732,2.47761,2.68778,2.74552,2.39921,2.90033,2.56315,2.59643,2.70015,2.83667,2.67702,2.56315,2.49686,2.92482,2.66109,2.68548,2.9018,2.2865,2.8202,2.77582,2.70935
PRAMEF7,3.62545,3.64502,3.64315,3.47321,3.70964,3.45994,3.51537,3.54827,3.42494,3.81627,3.41363,3.33998,3.55693,3.57177,3.69527,3.93416,3.6284,3.60168,3.1244,3.55049,3.74492,3.79059
PRAMEF22,1.7927,2.11696,1.75251,1.85455,1.5394,2.25155,1.85566,1.7954,2.34936,2.05498,2.12098,2.14448,1.64664,1.91768,2.18416,2.42056,1.92707,1.97769,2.03305,1.95207,1.80416,2.0654
PRAMEF25,3.07915,3.31004,2.91378,3.04335,3.13635,2.97368,3.02742,3.40417,3.05793,2.91202,3.14013,3.10772,3.09573,2.92592,3.06989,3.07123,3.29826,3.17249,3.05526,3.06192,3.03878,3.12168
PRAMEF6,4.761155,4.693095,4.78419,4.750675,4.624135,4.578355,4.611805,4.630455,4.724875,4.52717,4.671555,4.58038,4.37706,4.53541,4.47982,4.607505,4.553605,4.554495,4.442035,4.538925,4.761905,4.50941
PRAMEF15,2.894,3.15702,2.769885,2.715075,3.0079,2.983435,3.02727,2.779125,2.92215,3.240065,3.09432,2.983965,2.999405,2.84166,3.31856,3.50005,3.520015,2.983685,3.003495,3.034395,3.086075,3.130295
PRAMEF16,4.33115,4.17869,4.42108,4.32689,4.26238,4.09491,4.4332,4.22869,4.32495,4.32573,4.2989,4.27281,4.28991,4.08231,4.27308,4.16275,4.53414,4.1972,3.95784,4.31045,4.29326,4.34963
PRAMEF20,3.127695,3.24144,3.09097,3.15832,3.294765,3.061585,3.18157,3.03247,3.11635,3.14433,3.12104,3.02034,3.06616,2.981975,2.907265,3.118205,3.259835,3.034585,3.00789,3.111365,3.14083,3.216975
PRAMEF17,3.1749,3.18833,3.01928,3.40066,3.20649,3.21647,3.1609,3.12568,3.09607,3.17911,3.15671,2.97037,3.30379,3.28491,3.27741,3.17281,3.65208,3.2875,2.98217,3.01872,3.20327,3.44997
PDPN,3.84016,3.812,3.63886,3.67417,3.77826,3.80141,3.69198,3.69309,3.96488,3.70787,3.80655,3.76458,3.74056,3.65599,3.68219,3.84902,3.50489,3.74236,3.58569,3.76609,3.62021,3.84241
PRDM2,6.07426,6.09954,6.15885,6.12255,6.10866,6.13876,6.07392,6.14944,6.08875,6.03553,6.14552,6.13208,6.20819,6.3228,6.23244,6.28442,6.14175,6.17188,6.10847,6.28729,6.067,6.08318
KAZN,4.83252,4.82389,4.83336,4.74963,4.86886,4.84549,4.80826,4.96658,4.71458,4.89587,4.9262,4.91096,4.71896,4.70217,4.77853,4.72701,4.79293,4.84718,4.65402,4.93548,4.95392,4.80738
LOC100132942,3.30152,3.26777,3.16937,3.05006,3.06895,3.55582,3.19627,3.26412,3.34568,3.20115,3.38949,3.56752,3.31279,2.9023,3.27105,3.06584,3.31662,3.11172,3.77044,2.85779,2.90319,3.17018
TMEM51,3.93404,4.09032,4.04014,3.95962,4.01641,3.86111,3.9993,3.94928,3.98945,4.08362,3.9692,3.9619,3.94632,3.9492,3.91515,3.94108,4.00301,3.92757,3.99293,4.10873,4.14069,4.05769
FHAD1,3.58087,3.62728,3.58105,3.46115,3.54433,3.40978,3.48923,3.49272,3.47713,3.42778,3.50141,3.40584,3.43477,3.46172,3.37616,3.47143,3.44369,3.4875,3.468,3.40565,3.47798,3.58227
EFHD2,7.44409,7.49412,7.54575,7.62708,7.57183,7.4975,7.45462,7.74245,7.67453,7.70056,7.56323,7.63933,7.81116,7.75455,7.71995,7.71479,7.75479,7.65962,7.68025,7.63665,7.71098,7.66629
CTRC,4.77376,4.6883,4.65269,4.54767,4.92355,4.76187,4.67627,4.61799,4.74466,4.61867,4.68642,4.57861,4.64795,4.69513,4.60574,4.58065,4.57509,4.67382,4.6546,4.57316,4.66912,4.69712
CELA2A,3.25454,3.20566,3.09879,3.1199,3.26255,3.19878,3.14737,3.19081,3.19666,3.1776,3.12546,3.07863,3.03858,3.09668,3.15877,3.13022,3.13663,3.14763,3.1839,3.11378,3.21459,3.21073
DNAJC16,5.76962,5.64721,5.8096,5.91121,5.80186,5.96194,5.9295,5.79833,5.79507,6.06898,5.91812,5.91255,6.19893,6.11643,5.98447,5.96262,5.87904,6.18852,6.01742,6.00508,6.06658,5.66023
DDI2,5.72572,5.78344,5.90496,5.83809,5.87308,5.83644,5.81395,5.59867,5.53866,5.58088,5.84237,5.87157,5.79516,5.84157,5.87358,5.96672,5.53778,5.83266,5.8009,5.77156,5.75996,5.57321
PLEKHM2,6.78136,6.78532,6.9016,6.79476,6.83781,6.81633,6.95202,6.98877,7.04503,7.25142,7.0826,7.21198,7.13069,7.07819,7.26848,7.07468,7.10855,7.15171,7.17177,7.22574,7.15015,7.41078
SLC25A34,5.26629,5.4131,5.4831,5.12232,5.4064,5.31159,5.28692,5.58421,5.28073,5.28432,5.42877,5.28564,5.16816,5.23132,5.37967,5.19042,5.45798,5.27632,5.31064,5.22593,5.36235,5.47141
TMEM82,5.32455,5.46262,5.48177,5.13457,5.45453,5.21643,5.28729,5.18531,5.24142,5.44385,5.31347,5.21443,5.22617,5.3368,5.24839,5.35293,5.46083,5.24813,5.29613,5.10676,5.34889,5.43967
FBLIM1,4.80018,4.8444,4.75496,4.65974,4.83418,4.60749,4.72339,4.68365,4.72346,4.75348,4.83784,4.683,4.56908,4.68092,4.69667,4.65817,4.63113,4.68523,4.54895,4.63979,4.67643,4.76201
SPEN,7.24237,7.22626,7.39174,7.30274,7.21182,7.28235,7.07632,7.27648,7.34598,7.00224,7.25052,7.357,7.12381,7.33357,7.32437,7.41164,7.17206,7.11532,6.95281,7.33381,6.97202,7.12312
C1orf64,4.6457,4.50751,4.69577,4.34081,4.67584,4.51571,4.54785,4.68115,4.4053,4.40977,4.37004,4.40932,4.25142,4.40384,4.10934,4.41228,4.2147,4.21456,4.30483,4.45314,4.34768,4.45197
CLCNKA,4.40341,4.37297,4.30645,4.24972,4.4614,4.25062,4.34256,4.2803,4.29509,4.33277,4.39901,4.21191,4.32742,4.26369,4.26589,4.14248,4.3255,4.26542,4.15805,4.22187,4.32416,4.36897
CLCNKB,4.58656,4.59742,4.52167,4.40646,4.64878,4.45545,4.50204,4.45421,4.50531,4.47877,4.55457,4.44745,4.3887,4.40341,4.40943,4.43395,4.45634,4.41073,4.2714,4.42199,4.4914,4.58158
C1orf144,6.35695,6.25777,6.31466,6.48671,6.26108,6.39688,6.5675,6.69456,6.51332,6.80617,6.42202,6.64667,6.945,6.72506,6.74715,6.5495,6.76039,6.73636,6.98447,6.58749,6.66557,6.59474
