"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:0080599","DOID:0080599","Coronavirus infectious disease","6/12","138/7865",0.0434782608695652,28.4963768115942,12.7380847649141,2.21803568099757e-08,4.14772672346546e-06,3.1052499533966e-06,"CEACAM8/HP/SLPI/ELANE/SERPING1/MMP8",6
"DOID:934","DOID:934","viral infectious disease","7/12","336/7865",0.0208333333333333,13.6545138888889,9.2670399154493,1.60725855662335e-07,1.50278675044283e-05,1.12508098963635e-05,"RSAD2/CEACAM8/HP/SLPI/ELANE/SERPING1/MMP8",7
"DOID:3454","DOID:3454","brain infarction","5/12","249/7865",0.0200803212851406,13.1609772423025,7.6225320364163,2.01703136599018e-05,0.00125728288480054,0.00094128130412875,"HP/SLPI/ELANE/SERPING1/MMP8",5
"DOID:2945","DOID:2945","severe acute respiratory syndrome","3/12","58/7865",0.0517241379310345,33.9008620689655,9.8304582096491,7.98807351404056e-05,0.00317246574384718,0.00237510804352195,"CEACAM8/HP/SLPI",3
"DOID:6713","DOID:6713","cerebrovascular disease","5/12","348/7865",0.014367816091954,9.4169061302682,6.27790019797276,0.000100895359143611,0.00317246574384718,0.00237510804352195,"HP/SLPI/ELANE/SERPING1/MMP8",5
"DOID:3083","DOID:3083","chronic obstructive pulmonary disease","4/12","181/7865",0.0220994475138122,14.4843462246777,7.17414385768212,0.000116241234794162,0.00317246574384718,0.00237510804352195,"MPO/HP/SLPI/ELANE",4
"DOID:2320","DOID:2320","obstructive lung disease","4/12","182/7865",0.021978021978022,14.4047619047619,7.15194158420272,0.000118755402176098,0.00317246574384718,0.00237510804352195,"MPO/HP/SLPI/ELANE",4
"DOID:3526","DOID:3526","cerebral infarction","4/12","207/7865",0.0193236714975845,12.6650563607085,6.64827399798564,0.00019544996213457,0.00456864286489557,0.00342037433735497,"HP/SLPI/ELANE/SERPING1",4
"DOID:0080600","DOID:0080600","COVID-19","3/12","83/7865",0.036144578313253,23.6897590361446,8.12302693661533,0.000232795749283159,0.00483697834621676,0.00362126721107137,"ELANE/SERPING1/MMP8",3
"DOID:3525","DOID:3525","middle cerebral artery infarction","3/12","143/7865",0.020979020979021,13.75,6.01461567191839,0.00114803074460539,0.0214681749241208,0.0160724304244754,"HP/SLPI/ELANE",3
"DOID:850","DOID:850","lung disease","4/12","367/7865",0.0108991825613079,7.14350590372389,4.7116299173072,0.00171242867383714,0.0290054696275449,0.0217153248548465,"MPO/HP/SLPI/ELANE",4
"DOID:14115","DOID:14115","toxic shock syndrome","2/12","43/7865",0.0465116279069767,30.484496124031,7.57815718290254,0.00186131355898684,0.0290054696275449,0.0217153248548465,"ELANE/SERPING1",2
"DOID:0050339","DOID:0050339","commensal bacterial infectious disease","2/12","49/7865",0.0408163265306122,26.7517006802721,7.06815813145585,0.00241173727948957,0.0346919131741961,0.02597255531758,"ELANE/SERPING1",2
"DOID:0050161","DOID:0050161","lower respiratory tract disease","4/12","482/7865",0.00829875518672199,5.43914246196404,3.93188443205529,0.00464451146414597,0.0620374031282355,0.0464451146414597,"MPO/HP/SLPI/ELANE",4
"DOID:3021","DOID:3021","acute kidney failure","2/12","106/7865",0.0188679245283019,12.3663522012579,4.6053828833623,0.0108745258642391,0.135569089107514,0.101495574732898,"MPO/HP",2
"DOID:37","DOID:37","skin disease","3/12","336/7865",0.00892857142857143,5.85193452380952,3.55312509781735,0.0127506679742147,0.147719456957462,0.110592106813073,"TNFAIP6/MPO/SERPING1",3
"DOID:5844","DOID:5844","myocardial infarction","3/12","350/7865",0.00857142857142857,5.61785714285714,3.45465433988217,0.0142422971270624,0.147719456957462,0.110592106813073,"HP/SLPI/SERPING1",3
"DOID:0060178","DOID:0060178","familial hemiplegic migraine","1/12","10/7865",0.1,65.5416666666667,7.98291781286345,0.0151617566118529,0.147719456957462,0.110592106813073,"CACNA1E",1
"DOID:1558","DOID:1558","angioedema","1/12","10/7865",0.1,65.5416666666667,7.98291781286345,0.0151617566118529,0.147719456957462,0.110592106813073,"SERPING1",1
"DOID:16","DOID:16","integumentary system disease","3/12","366/7865",0.00819672131147541,5.37226775956284,3.34842204924318,0.0160667434089778,0.147719456957462,0.110592106813073,"TNFAIP6/MPO/SERPING1",3
"DOID:2224","DOID:2224","essential thrombocythemia","1/12","11/7865",0.0909090909090909,59.5833333333333,7.60010425508802,0.0166662835272774,0.147719456957462,0.110592106813073,"ELANE",1
"DOID:0050590","DOID:0050590","severe congenital neutropenia","1/12","12/7865",0.0833333333333333,54.6180555555556,7.26571672060655,0.0181687032621477,0.147719456957462,0.110592106813073,"ELANE",1
"DOID:12554","DOID:12554","hemolytic-uremic syndrome","1/12","12/7865",0.0833333333333333,54.6180555555556,7.26571672060655,0.0181687032621477,0.147719456957462,0.110592106813073,"HP",1
"DOID:14067","DOID:14067","Plasmodium falciparum malaria","1/12","13/7865",0.0769230769230769,50.4166666666667,6.97026925344249,0.0196690184997458,0.15224124496506,0.113977402647638,"HP",1
"DOID:10024","DOID:10024","migraine with aura","1/12","14/7865",0.0714285714285714,46.8154761904762,6.70669120570871,0.0211672319202757,0.15224124496506,0.113977402647638,"CACNA1E",1
"DOID:4677","DOID:4677","keratitis","1/12","14/7865",0.0714285714285714,46.8154761904762,6.70669120570871,0.0211672319202757,0.15224124496506,0.113977402647638,"TNFAIP6",1
"DOID:11247","DOID:11247","disseminated intravascular coagulation","1/12","16/7865",0.0625,40.9635416666667,6.2547704107329,0.0241573640155963,0.164188465937203,0.122921846156194,"ELANE",1
"DOID:3082","DOID:3082","interstitial lung disease","2/12","163/7865",0.0122699386503067,8.04192229038855,3.55122222457366,0.0245843692312389,0.164188465937203,0.122921846156194,"MPO/ELANE",2
"DOID:104","DOID:104","bacterial infectious disease","2/12","175/7865",0.0114285714285714,7.49047619047619,3.3941184322989,0.0280630003419116,0.170507583301201,0.127652736161327,"ELANE/SERPING1",2
"DOID:3393","DOID:3393","coronary artery disease","3/12","453/7865",0.00662251655629139,4.34050772626932,2.86278315409023,0.0282802125062586,0.170507583301201,0.127652736161327,"HP/SLPI/SERPING1",3
"DOID:10247","DOID:10247","pleurisy","1/12","20/7865",0.05,32.7708333333333,5.56085674070734,0.0301125239898072,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:784","DOID:784","chronic kidney disease","2/12","191/7865",0.0104712041884817,6.8630017452007,3.20641983458575,0.0329955849097832,0.170507583301201,0.127652736161327,"MPO/HP",2
"DOID:11758","DOID:11758","iron deficiency anemia","1/12","22/7865",0.0454545454545455,29.7916666666667,5.28605424220001,0.0330775944822713,0.170507583301201,0.127652736161327,"HP",1
"DOID:60001","DOID:60001","pulmonary artery disease","1/12","23/7865",0.0434782608695652,28.4963768115942,5.16203026514684,0.0345570116525136,0.170507583301201,0.127652736161327,"HP",1
"DOID:916","DOID:916","liver benign neoplasm","1/12","23/7865",0.0434782608695652,28.4963768115942,5.16203026514684,0.0345570116525136,0.170507583301201,0.127652736161327,"HP",1
"DOID:9477","DOID:9477","pulmonary embolism","1/12","23/7865",0.0434782608695652,28.4963768115942,5.16203026514684,0.0345570116525136,0.170507583301201,0.127652736161327,"HP",1
"DOID:2226","DOID:2226","myeloproliferative neoplasm","1/12","24/7865",0.0416666666666667,27.3090277777778,5.04567496105159,0.0360343536392731,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:13378","DOID:13378","Kawasaki disease","1/12","25/7865",0.04,26.2166666666667,4.93621681779725,0.0375096230891306,0.170507583301201,0.127652736161327,"HP",1
"DOID:1602","DOID:1602","lymphadenitis","1/12","25/7865",0.04,26.2166666666667,4.93621681779725,0.0375096230891306,0.170507583301201,0.127652736161327,"HP",1
"DOID:9942","DOID:9942","lymph node disease","1/12","25/7865",0.04,26.2166666666667,4.93621681779725,0.0375096230891306,0.170507583301201,0.127652736161327,"HP",1
"DOID:12241","DOID:12241","beta thalassemia","1/12","26/7865",0.0384615384615385,25.2083333333333,4.83298902754363,0.0389828226456266,0.170507583301201,0.127652736161327,"HP",1
"DOID:1227","DOID:1227","neutropenia","1/12","26/7865",0.0384615384615385,25.2083333333333,4.83298902754363,0.0389828226456266,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:5082","DOID:5082","liver cirrhosis","2/12","212/7865",0.00943396226415094,6.18317610062893,2.99049179336712,0.0399553789549287,0.170507583301201,0.127652736161327,"MPO/HP",2
"DOID:1532","DOID:1532","pleural disease","1/12","27/7865",0.037037037037037,24.2746913580247,4.73541188485552,0.0404539549492692,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:1273","DOID:1273","respiratory syncytial virus infectious disease","1/12","29/7865",0.0344827586206897,22.6005747126437,4.55524424688791,0.0433900283448629,0.170507583301201,0.127652736161327,"RSAD2",1
"DOID:12987","DOID:12987","agranulocytosis","1/12","29/7865",0.0344827586206897,22.6005747126437,4.55524424688791,0.0433900283448629,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:2452","DOID:2452","thrombophilia","1/12","30/7865",0.0333333333333333,21.8472222222222,4.4718157319986,0.044854974702681,0.170507583301201,0.127652736161327,"ELANE",1
"DOID:6364","DOID:6364","migraine","1/12","30/7865",0.0333333333333333,21.8472222222222,4.4718157319986,0.044854974702681,0.170507583301201,0.127652736161327,"CACNA1E",1
"DOID:4251","DOID:4251","conjunctival disease","1/12","31/7865",0.032258064516129,21.1424731182796,4.39234487835908,0.0463178643393839,0.170507583301201,0.127652736161327,"TNFAIP6",1
"DOID:848","DOID:848","arthritis","2/12","231/7865",0.00865800865800866,5.67460317460317,2.81883229505751,0.0467005765132746,0.170507583301201,0.127652736161327,"HP/MMP8",2
"DOID:0080162","DOID:0080162","lupus nephritis","1/12","32/7865",0.03125,20.4817708333333,4.31652174411077,0.0477786998803499,0.170507583301201,0.127652736161327,"MPO",1
"DOID:10241","DOID:10241","thalassemia","1/12","33/7865",0.0303030303030303,19.8611111111111,4.24406943707211,0.0492374839479405,0.170507583301201,0.127652736161327,"HP",1
"DOID:1591","DOID:1591","renovascular hypertension","1/12","33/7865",0.0303030303030303,19.8611111111111,4.24406943707211,0.0492374839479405,0.170507583301201,0.127652736161327,"MPO",1
"DOID:874","DOID:874","bacterial pneumonia","1/12","33/7865",0.0303030303030303,19.8611111111111,4.24406943707211,0.0492374839479405,0.170507583301201,0.127652736161327,"MPO",1
"DOID:3342","DOID:3342","bone inflammation disease","2/12","244/7865",0.00819672131147541,5.37226775956284,2.71200358655784,0.0515475672129062,0.17157922522552,0.128455034928197,"HP/MMP8",2
"DOID:0080998","DOID:0080998","acute necrotizing pancreatitis","1/12","35/7865",0.0285714285714286,18.7261904761905,4.1083092706999,0.0521489081373758,0.17157922522552,0.128455034928197,"SERPING1",1
"DOID:14004","DOID:14004","thoracic aortic aneurysm","1/12","36/7865",0.0277777777777778,18.2060185185185,4.04457661528258,0.0536015534888901,0.17157922522552,0.128455034928197,"MMP8",1
"DOID:1679","DOID:1679","cystitis","1/12","37/7865",0.027027027027027,17.713963963964,3.98335939243579,0.0550521578263702,0.17157922522552,0.128455034928197,"MPO",1
"DOID:2018","DOID:2018","hyperinsulinism","1/12","37/7865",0.027027027027027,17.713963963964,3.98335939243579,0.0550521578263702,0.17157922522552,0.128455034928197,"HP",1
"DOID:898","DOID:898","autosomal dominant polycystic kidney disease","1/12","37/7865",0.027027027027027,17.713963963964,3.98335939243579,0.0550521578263702,0.17157922522552,0.128455034928197,"SERPING1",1
"DOID:3117","DOID:3117","hepatobiliary benign neoplasm","1/12","39/7865",0.0256410256410256,16.8055555555556,3.8678241797196,0.057947253885533,0.171590827142363,0.128463720855245,"HP",1
"DOID:6000","DOID:6000","congestive heart failure","2/12","261/7865",0.00766283524904215,5.02234993614304,2.5832927607261,0.0581553827338244,0.171590827142363,0.128463720855245,"HP/MMP8",2
"DOID:583","DOID:583","hemolytic anemia","1/12","40/7865",0.025,16.3854166666667,3.81321823819451,0.0593917508128746,0.171590827142363,0.128463720855245,"HP",1
